Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
10.or,10or_G2,G2,3749MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
10.or,E,E,2840-2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,G,G,2851-3582MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
3222222 Satelital,G706,G706,920MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT70053G,GT70053G,955MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT7007EQC,GT7007EQC,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT10K3IPS,GT10K3IPS,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
7mobile,Swegue 2,Swegue_2,1861MB,Phone,Mediatek MT6739CH,480x996,240,armeabi-v7a;armeabi,27,3.2
7mobile,Kamba 2,7mobile_Kamba_2,2884MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
9mobile,DM_T901,DM_T901,1938MB,Tablet,Spreadtrum SC7731E,800x1280,213,armeabi-v7a;armeabi,28,3.2
A1,A1 Smart N9,VFD720,1874MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aamra WE,A50,A50,450MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
Aamra WE,A10,A10,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Accent,CAMELEON C5,CAMELEON_C5,925-932MB,Phone,Spreadtrum SC7731E,480x854;480x960,240,armeabi-v7a;armeabi,24;27,2.0;3.2
Accent,FAST7 3G,FAST7_3G,958MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,24,2.0
Accent,FAST73G,FAST73G,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi-v7a;armeabi,27,3.2
Accent,KIDZY70,KIDZY70,981MB,Tablet,Rockchip RK3126,600x1024,160,armeabi-v7a;armeabi,27,2.0
Accent,PEARL A4 Lite,PEARL_A4_Lite,903MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,PEARL A6,PEARL_A6,2897MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,C5,C5,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Accent,TANK_P55,TANK_P55,1871MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,AS0218,AS0218,885MB,Phone,Spreadtrum SC9832E,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,AS0518,AS0518,1822MB,Phone,Mediatek MT6762,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,URBAN 1,URBAN_1,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Plus,BUZZ_1_Plus,885MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Lite,BUZZ_1_Lite,904MB,Phone,Spreadtrum SC7731C,480x960,240,armeabi-v7a;armeabi,27,3.2
ACE France,AS0618,AS0618,2826MB,Phone,Mediatek MT6752,720x1500,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acegame S.A.,TitaniumHD,TitaniumHD,954MB,Tablet,Rockchip RK3326,1024x600,160,armeabi-v7a;armeabi,27,3.2
Acegame S.A.,NEONHD/NEONGo,NEON,954MB,Tablet,Rockchip RK3326,1024x600,160,armeabi-v7a;armeabi,27,3.2
Acegame S.A.,TitaniumColors,TitaniumColors,954MB,Tablet,Rockchip RK3326,600x1024,160,armeabi-v7a;armeabi,27,3.2
Acer,Acer Chromebook R13,elm_cheets,3936MB,PC,Mediatek MT8173,1920x1080,160,armeabi-v7a;armeabi,25;28,3.2
Acer,Iconia One 10,acer_Colnago,1966MB,Tablet,Mediatek MT8167B,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acer,Iconia One 10,acer_jetfirelte,1925MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 10,corona,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Chromebook 14 for work,lars_cheets,3846MB,PC,Intel 3855U,1366x768;768x1366,160,x86;armeabi-v7a;armeabi,25;28,3.1
Acer,Chromebook Tab 10,scarlet_cheets,3813MB,PC,Rockchip RK3399,1536x2048,240,armeabi-v7a;armeabi,25;28,3.2
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,3827MB,PC,Intel N3350,1080x1920;1920x1080,160,x86;armeabi-v7a;armeabi,25;28,3.1
Acer,Acer One 7 4G,Acer_One_7_4G,1933MB,Tablet,Mediatek MT6735,800x1280,213,armeabi-v7a;armeabi,27,3.1
Adart,S4090,S4090,945MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Advan digital,G2 Pro,ADVAN_G2_Pro,2823MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Advan digital,i6A,ADVAN_5501,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,i6c,ADVAN_i6C,1803MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,G3 Pro,ADVAN_G3_Pro,3832MB,Phone,Spreadtrum SC9863A,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Advan digital,ADVAN G2 plus,ADVAN_5701,2857MB,Phone,Mediatek MT6580,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Advan digital,G-Tab,ADVAN_G_Tab,1803MB,Phone,Spreadtrum SC9863A,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,X7 Pro,ADVAN_X7_Pro,933MB,Phone,Spreadtrum SC7731E,600x1024,240,armeabi-v7a;armeabi,27,3.2
Advan digital,X7 Pro,ADVAN_7008,964MB,Phone,Mediatek MT8321,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,ADVAN S50 4G,ADVAN_i5G,884MB,Phone,Spreadtrum SC9850KA,480x854,240,armeabi-v7a;armeabi,27,3.2
Advan digital,S6 Plus,ADVAN_S6_Plus,884MB,Phone,Spreadtrum SC9850K,480x960,240,armeabi-v7a;armeabi,27,3.2
Advan digital,S50 Prime,ADVAN_S50_Prime,884MB,Phone,Spreadtrum SC9850K,480x854,240,armeabi-v7a;armeabi,27,3.2
Advance,Advance,Tr4995,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Advance,ADVANCE,SP4871,1910MB,Tablet,Mediatek MT8735B,1280x800,160,armeabi-v7a;armeabi,24,3.1
Advance,Tr3946,Tr3946,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Advance,HL6248,HL6248,944MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0
Advance,HL6256,HL6256,883MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Advance,HL5576,HL5576,948MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Advance,HL7257,HL7257,854MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Advance,HL4736,HL4736,438MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Advance,HL6077,HL6077,958MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Advance,HL6577,HL6577,887MB,Phone,Mediatek MT6739WA,720x1280,320,armeabi-v7a;armeabi,27,3.2
Advance,Tr4986,Tr4986,920MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
Advance,TR4986,Tablet_adv_v1,961MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,24,2.0
Advance,HL5585,HL5585,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Advance,HL5677,HL5677,922MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Advantage Air,PIC10GS8,PIC10GS8,1975MB,Tablet,Mediatek MT8163,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Advantage Air,PIC8GS8,PIC8GS8,1975MB,Phone,Mediatek MT8163,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Advantage Air,PIC7GS8,PIC7GS8,975MB,Tablet,Mediatek MT8167B,600x1024,160,armeabi-v7a;armeabi,27,3.2
AfriOne,ChampionPro,ChampionPro,942MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
AfriOne,Gravity Z2,Gravity_Z2,867MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
afriphone,smart_S5,smart_S5,937MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
AG Mobile,AGM A9,HSSDM450QC,4096MB,Phone,Qualcomm SDM450,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AG Mobile,AGM X3,T91EUE1,8192MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Aimson,AINOL_Q88X,AINOL_Q88X,982MB,Tablet,Allwinner A50,600x1024,160,armeabi-v7a;armeabi,27,2.0
Ainol,Q88A_EEA,Q88A_EEA,982MB,Tablet,Allwinner A50,1024x600,160,armeabi-v7a;armeabi,27,2.0
Aiuto,AT702,AT702,1965MB,Tablet,Mediatek MT8167A,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Aiuto,AT1002,AT1002,2950MB,Tablet,Mediatek MT8167A,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Aiwa,AWM501,AWM501,953MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Aiwa,AWM561,AWM561,906MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,27,3.2
Aiwa,AWM509,AWM509,901MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,27,3.2
Akai,FZ703,FZ703,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
Akai,FZ701,FZ701,981MB,Tablet,Rockchip RK3126,600x1024,160,armeabi-v7a;armeabi,27,2.0
Alba,Alba8Nou,Alba8Nou,974MB,Tablet,Mediatek MT8163,800x1280,213,armeabi-v7a;armeabi,27,3.1
Alba,Alba7Nou,Alba7Nou,980MB,Tablet,Mediatek MT8163,600x1024,160,armeabi-v7a;armeabi,27,3.1
Alba,Alba10Nou,Alba10Nou,974MB,Tablet,Mediatek MT8163,800x1280,160,armeabi-v7a;armeabi,27,3.1
Alco,Alco S9,Alco_S9,3757MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Alco,Voyager Pro,RCT6873W42BMF8KC,980MB,Tablet,Mediatek MT8167B,600x1024,160,armeabi-v7a;armeabi,27,3.2
Alcor,Comet_O118LR,Comet_O118LR,1860MB,Tablet,Mediatek MT6753,1920x1200,320,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Aligator,S5710,S5710,1865MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Aligator,RX700,RX700,2875MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aligator,Aligator S5066,Aligator_S5066,958MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Aligator,ALIGATOR S5540,ALIGATOR_S5540,1888MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,28,3.2
Aligator,ALIGATOR S6000,ALIGATOR_S6000,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Aligator,RX600,RX600,1831MB,Phone,Mediatek MT6739WW,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AllCall,AllCall_S1,AllCall_S1,1932MB,Phone,Mediatek MT6580,640x1280,320,armeabi-v7a;armeabi,27,2.0
AllCall,Rio_X,Rio_X,953MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
AllCall,AllCall_S1_X,AllCall_S1_X,1939MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
AllCall,S5500,S5500,1939MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Alldocube,U1005,U1005,3921MB,Tablet,Mediatek MT8176A,1600x2560,240,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Alldocube,U1006E,U1006E,2958MB,Tablet,Mediatek MT8163,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,28,3.1
Alldocube,T1001,T1001,1860MB,Tablet,Mediatek MT6753,1920x1200,320,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Alldocube,U1006,U1006,2958MB,Tablet,Mediatek MT8163,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,28,3.1
Alldocube,U1005E,U1005E,3921MB,Tablet,Mediatek MT8176A,2560x1600,240,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Alldocube,T806ME,T806ME,1935MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,28,2.0
Alldocube,U63PLUS,U63PLUS,1953MB,Phone,Mediatek MT6580,1280x800,240,armeabi-v7a;armeabi,27,2.0
Alldocube,T806,T806,1935MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,28,2.0
Alldocube,T701,T701,1796MB,Phone,Spreadtrum SC9832E,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
AllView,Viva 1003G,Viva_1003G,1929MB,Tablet,Mediatek MT6580,800x1280,160,armeabi-v7a;armeabi,28,2.0
AllView,Viva 1003G Lite,Viva_1003G_Lite,915MB,Tablet,Mediatek MT8321,800x1280,213,armeabi-v7a;armeabi,27,2.0
AllView,AX503,AX503,920MB,Phone,Mediatek MT8321,600x1024,240,armeabi-v7a;armeabi,27,2.0
AllView,A10 Max,A10_Max,944MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,28,2.0
AllView,P10_Style,P10_Style,882MB,Phone,Mediatek MT6739CH,480x960,240,armeabi-v7a;armeabi,27,3.2
AllView,Viva C703,Viva_C703,982MB,Tablet,Allwinner A50,600x1024,160,armeabi-v7a;armeabi,27,2.0
AllView,X6 Soul Xtreme,X6_Soul_Xtreme,3718MB,Phone,Mediatek MT6771,1080x2340,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
AllView,A10 Lite 2019,A10_Lite_2019,957MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
AllView,V4 Viper,V4_Viper,2048MB,Phone,Mediatek MT6761,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
AllView,A9  Plus,A9_Plus,898MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
AllView,X4 Soul Infinity N,X4_Soul_Infinity_NV,3766MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AllView,X4 Soul Infinity N,X4_Soul_Infinity_N,3832MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
AllView,X5_Soul,X5_Soul,3772MB,Phone,Mediatek MT6737,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AllView,A10 Plus,A10_Plus,957MB,Phone,Mediatek MT6580M,960x480,240,armeabi-v7a;armeabi,27,2.0
AllView,P10 Mini,P10_Mini,900MB,Phone,Mediatek MT6739WA,720x1280,320,armeabi-v7a;armeabi,27,3.2
AllView,X5_Soul_Style,X5_Soul_Style,2828MB,Phone,Mediatek MT6762,1500x720,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AllView,A10 Lite,A10_Lite,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
AllView,P10 Max,P10_Max,882MB,Phone,Mediatek MT6739CH,480x960,240,armeabi-v7a;armeabi,27,3.2
AllView,P10 Pro,P10_Pro,2890MB,Phone,Mediatek MT6739CH,1440x720,320,armeabi-v7a;armeabi,27,3.2
AllView,A10 Lite 2GB,A10_Lite_2GB,1970MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
AllView,P10 Life,P10_Life,1890MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,27,3.2
AllView,X5 Soul Mini,X5_Soul_Mini,1878MB,Phone,Mediatek MT6739CH,720x1498,320,armeabi-v7a;armeabi,27,3.2
AllView,X6 Soul mini,X6_Soul_mini,1821MB,Phone,Mediatek MT6765,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
AllView,V3 Viper,V3_Viper,2868MB,Phone,Mediatek MT6737,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,26,3.1
AllView,X5 Soul Pro,X5_Soul_Pro,3765MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Altice,AlTICE S11,S11,451MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Altice,S22,S22,451MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Altice,S42,S42,1906MB,Phone,Mediatek MT6739WW,540x1132,240,armeabi-v7a;armeabi,28,3.2
Altice,AlTICE S12,S12,451MB,Phone,Mediatek MT6580,480x800,240,armeabi-v7a;armeabi,27,2.0
Altice,S61,S61,1853MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Altice,S32,S32,894MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,28,3.2
Altron,OB-627,OB-627,927MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Altron,GI-420,GI-420,451MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Altron,GI-530,GI-530,928MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Altron,OB_421,OB_421,438MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Altron,GHIA,GH1,1877MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Altron,OB-728,OB-728,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi-v7a;armeabi,27,3.2
Amgoo,AM412,AM412,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Andersson,TBQ_10321,TBQ_10321,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
Andersson,TBQ-7321,TBQ-7321,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
ANS,L51,L51,894MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,27,3.0
Aprix,Phat6,Phat6,1934MB,Phone,Mediatek MT8735,720x1280,240,armeabi-v7a;armeabi,27,3.1
Archos,Archos Core 55S Ultra,ac55crsultra,1847MB,Phone,Spreadtrum SC9850K,640x1280,320,armeabi-v7a;armeabi,27,3.2
Archos,Archos Oxygen 63,ac63ox,3831MB,Phone,Spreadtrum SC9863A,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Archos,Archos Core 80 Wifi,ac80crwf,954MB,Tablet,Rockchip RK3326,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Archos,Archos Hello 7,ac70hello,1966MB,Tablet,Mediatek MT8167B,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Archos,Archos,ac68oxxl,3072MB,Phone,Mediatek MT6762,640x1352,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Archos,Archos,ac57as3g,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Archos,Archos,ac101cr3gv5,953MB,Tablet,Mediatek MT8321,1280x800,213,armeabi-v7a;armeabi,27,2.0
Archos,Archos,ac101aswf,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Archos,Archos,ac101hello,1966MB,Tablet,Mediatek MT8167B,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Archos,Archos Access 57 4G,ac57as4g,910MB,Phone,Spreadtrum SC9832E,480x960,240,armeabi-v7a;armeabi,27,3.2
Archos,Archos 101 Oxygen 4G,ac101ox4g,1922MB,Tablet,Mediatek MT8735B,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Archos,Archos Access 101 3G V3,ac101as3gv3,920MB,Tablet,Mediatek MT8321,1024x600,160,armeabi-v7a;armeabi,27,2.0
Archos,Archos Oxygen 57,ac57ox,2823MB,Phone,Spreadtrum SC9863A,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Archos,Archos Core 101 3G V4,ac101cr3gv4,915MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,27,2.0
Archos,Archos Core 62S,ac62crs,1905MB,Phone,Mediatek MT6739WA,480x996,240,armeabi-v7a;armeabi,28,3.2
Archos,Archos Access 101 Wifi v2,ac101aswfv2,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Archos,Archos Access 70 Wifi,ac70aswf,981MB,Phone,Rockchip RK3126C,600x1024,213,armeabi-v7a;armeabi,27,2.0
Archos,Archos Core 57S Ultra,ac57crsultra,2923MB,Phone,Mediatek MT6737H,720x1440,320,armeabi-v7a;armeabi,27,3.1
Archos,Archos Access 50S 4G,ac50ass4g,910MB,Phone,Spreadtrum SC9832E,480x960,240,armeabi-v7a;armeabi,27,3.2
Archos,Archos Oxygen 101S Ardoiz,ac101soxaz,2824MB,Tablet,Spreadtrum SC9863A,1920x1200,280,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Ark,S504,S504,451MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Artel,Starpad_T-181,Starpad,972MB,Tablet,Mediatek MT8167A,600x1024,160,armeabi-v7a;armeabi,27,3.2
Artel,U1,U1,957MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Artel,U1_MINI,U1_MINI,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Artel,U3 4G,U3_4G,895MB,Phone,Mediatek MT6739WA,480x960,240,armeabi-v7a;armeabi,27,3.2
Artel,U4,U4,1925MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0
Artel,U2,U2,947MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Artizlee,Artizlee S9,Artizlee_S9,888MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Asanzo,S3 Plus,ASANZO_S3_PLUS,1886MB,Phone,Mediatek MT6739WW,640x1280,320,armeabi-v7a;armeabi,27,3.2
Asanzo,S6,S6,2797MB,Phone,Mediatek MT6761,600x1280,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Asanzo,ASANZO A2,ASANZO_A2,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Asanzo,A1,A1,943MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Ascom Wireless Solutions,Ascom Myco 3,ACBA,1000-3838MB,Phone,Mediatek MT6763,1080x1920;320x480,160;480,arm64-v8a;armeabi-v7a;armeabi,22;27,2.0;3.2
Ascom Wireless Solutions,Ascom Myco 3,ABAA,3838MB,Phone,Mediatek MT6763,1920x1080,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Ascom Wireless Solutions,Ascom Myco 3,ABBA,1000-3838MB,Phone,Mediatek MT6763,1080x1920;320x480,160;480,arm64-v8a;armeabi-v7a;armeabi,22;27,2.0;3.2
Aspera,Jazz_2,Jazz_2,894MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,28,3.2
Aspera,Wren,Wren,884MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,27,3.2
Aspera,Aspera Swift,Aspera_Swift,1906MB,Phone,Mediatek MT6739WW,480x960,240,armeabi-v7a;armeabi,27,3.2
ASTON,IDEA,IDEA,954MB,Phone,Mediatek MT6580,480x996,240,armeabi-v7a;armeabi,27,2.0
Astro_Tab,G10,G10,981MB,Tablet,Rockchip RK3126C,1280x800,160,armeabi-v7a;armeabi,27,2.0
Astro_Tab,A750,A750,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Astrom,AST707G,AST707G,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi-v7a;armeabi,27,3.2
Asus,ZenFone 3 (ZE552KL),ASUS_Z012D,3606-3607MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.2
Asus,ZenFone 4 Selfie (ZD553KL),ASUS_X00LD_1,3608-3614MB,Phone,Qualcomm MSM8937,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27;28,3.2
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00T_3,5743-5744MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00T_6,2743-2744MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00T_2,2743-2744MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00T_4,2744-3745MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Asus,ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN),ASUS_X00T_8,2744-5743MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Asus,ZenFone 4 Max (ZC520KL),ASUS_X00HD_5,2841-2846MB,Phone,Qualcomm MSM8937,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
